movie_ID	genres
297	{'id': 14_'name': 'Fantasy'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'}
298	{'id': 80_'name': 'Crime'|'id': 53_'name': 'Thriller'}
299	{'id': 53_'name': 'Thriller'|'id': 10402_'name': 'Music'|'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
300	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 14_'name': 'Fantasy'}
301	{'id': 37_'name': 'Western'}
302	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'}
303	{'id': 53_'name': 'Thriller'|'id': 18_'name': 'Drama'|'id': 10749_'name': 'Romance'}
306	{'id': 28_'name': 'Action'|'id': 35_'name': 'Comedy'|'id': 80_'name': 'Crime'}
307	{'id': 18_'name': 'Drama'|'id': 36_'name': 'History'}
308	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'|'id': 10749_'name': 'Romance'}
309	{'id': 18_'name': 'Drama'}
310	{'id': 14_'name': 'Fantasy'|'id': 35_'name': 'Comedy'}
311	{'id': 18_'name': 'Drama'|'id': 80_'name': 'Crime'}
312	{'id': 18_'name': 'Drama'}
313	{'id': 10749_'name': 'Romance'|'id': 18_'name': 'Drama'}
314	{'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'}
315	{'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'}
316	{'id': 35_'name': 'Comedy'|'id': 18_'name': 'Drama'}
317	{'id': 18_'name': 'Drama'|'id': 36_'name': 'History'}
318	{'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
319	{'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 10749_'name': 'Romance'}
320	{'id': 80_'name': 'Crime'|'id': 9648_'name': 'Mystery'|'id': 53_'name': 'Thriller'}
321	{'id': 35_'name': 'Comedy'|'id': 10749_'name': 'Romance'}
322	{'id': 53_'name': 'Thriller'|'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 9648_'name': 'Mystery'}
326	{'id': 28_'name': 'Action'|'id': 80_'name': 'Crime'|'id': 27_'name': 'Horror'|'id': 53_'name': 'Thriller'}
327	{'id': 80_'name': 'Crime'|'id': 18_'name': 'Drama'|'id': 53_'name': 'Thriller'}
329	{'id': 12_'name': 'Adventure'|'id': 878_'name': 'Science Fiction'}
330	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'|'id': 878_'name': 'Science Fiction'}
331	{'id': 12_'name': 'Adventure'|'id': 28_'name': 'Action'|'id': 53_'name': 'Thriller'|'id': 878_'name': 'Science Fiction'}
332	{'id': 28_'name': 'Action'|'id': 12_'name': 'Adventure'|'id': 35_'name': 'Comedy'|'id': 10751_'name': 'Family'}
